state,county,County_name,Civilian_labor_force_2019,Unemployed_2019,Unemployment_rate_2019,State_Abbr,less_than_high_school,high_school_diploma,some_college,bach_degree,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2019,N_POP_CHG_2019,Births_2019,Deaths_2019,NATURAL_INC_2019,INTERNATIONAL_MIG_2019,DOMESTIC_MIG_2019,NET_MIG_2019,RESIDUAL_2019,GQ_ESTIMATES_2019,R_birth_2019,R_death_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,R_NET_MIG_2019,cases,deaths
27,063,Jackson County,5754,198,3.4,MN,489,2435,2624,1564,10266,10266,9846,-49,98,109,-11,7,-45,-38,0,110,9.928575047,11.04300694,-1.114431893,0.709183932,-4.559039562,-3.84985563,240,1
27,065,Kanabec County,9111,538,5.9,MN,1091,4565,4050,1656,16239,16244,16337,91,180,142,38,9,44,53,0,246,11.048706381,8.716201700,2.332504680,0.552435319,2.700794893,3.253230212,250,10
27,067,Kandiyohi County,24425,860,3.5,MN,3293,7395,11259,6695,42239,42239,43199,289,568,370,198,193,-100,93,-2,1047,13.192581496,8.593759073,4.598822423,4.482690543,-2.322637587,2.160052956,1921,5
27,069,Kittson County,2386,87,3.6,MN,184,1176,989,737,4552,4552,4298,30,66,52,14,3,14,17,-1,111,15.409759514,12.141022648,3.268736867,0.700443614,3.268736867,3.969180481,66,0
27,071,Koochiching County,5990,382,6.4,MN,722,3385,3635,1657,13311,13314,12229,-202,96,149,-53,3,-153,-150,1,241,7.785888078,12.084347121,-4.298459043,0.243309002,-12.40875912,-12.16545012,185,5
27,073,Lac qui Parle County,3579,134,3.7,MN,366,1840,1841,953,7259,7258,6623,-41,58,98,-40,3,-4,-1,0,154,8.730337924,14.751260631,-6.020922706,0.451569203,-0.602092271,-0.150523068,153,3
27,075,Lake County,5538,200,3.6,MN,323,2554,2811,2415,10866,10862,10641,31,105,134,-29,5,58,63,-3,224,9.881887911,12.611171239,-2.729283328,0.470566091,5.458566656,5.929132747,142,0
27,077,Lake of the Woods County,2472,102,4.1,MN,242,1123,960,557,4045,4045,3740,3,31,40,-9,-1,13,12,0,53,8.292095760,10.6994784,-2.40738264,-0.26748696,3.477330480,3.209843520,50,1
27,079,Le Sueur County,16307,731,4.5,MN,1382,6675,6792,4275,27703,27701,28887,299,343,222,121,30,148,178,0,270,11.935624184,7.725097869,4.210526316,1.043932144,5.150065246,6.193997390,702,6
27,081,Lincoln County,3290,124,3.8,MN,350,1542,1397,741,5896,5895,5639,-29,70,75,-5,0,-24,-24,0,135,12.381710445,13.266118334,-0.884407889,0,-4.245157867,-4.245157867,208,0
27,083,Lyon County,14631,468,3.2,MN,1316,5481,5540,4205,25857,25858,25474,-109,343,228,115,94,-319,-225,1,901,13.435963727,8.931194547,4.504769180,3.682159155,-12.49583798,-8.81367883,1077,6
